Sea,Date,HID,AID,Open,OddsH,OddsA,HSC,ASC,H,A,S_H,PPG_H,PIM_H,FOW_H,HIT_H,TAK_H,GIV_H,BLK_H,S_A,PPG_A,PIM_A,FOW_A,HIT_A,TAK_A,GIV_A,BLK_A
2010,2010-10-07,19,0,2010-10-06,0.0,0.0,3,4,False,True,29,2,10.0,52,19.0,8.0,11.0,19.0,31,2,10.0,33,14.0,3.0,10.0,19.0
2010,2010-10-07,27,24,2010-10-06,0.0,0.0,3,2,True,False,24,0,4.0,20,27.0,6.0,12.0,22.0,28,0,10.0,23,34.0,7.0,7.0,21.0
2010,2010-10-07,18,15,2010-10-06,0.0,0.0,2,3,False,True,31,1,10.0,34,32.0,9.0,11.0,14.0,27,1,12.0,22,34.0,1.0,8.0,16.0
2010,2010-10-08,10,21,2010-10-07,0.0,0.0,4,0,True,False,43,0,26.0,35,21.0,10.0,7.0,8.0,21,0,44.0,19,26.0,13.0,5.0,20.0
2010,2010-10-08,30,31,2010-10-07,0.0,0.0,1,2,False,True,26,0,10.0,30,26.0,16.0,18.0,7.0,36,1,12.0,23,22.0,5.0,7.0,20.0
2010,2010-10-08,17,1,2010-10-07,0.0,0.0,4,2,True,False,31,0,10.0,30,20.0,18.0,13.0,23.0,31,0,10.0,26,25.0,12.0,3.0,12.0
2010,2010-10-08,12,4,2010-10-07,0.0,0.0,3,4,False,True,30,1,6.0,15,16.0,1.0,4.0,8.0,28,0,6.0,24,23.0,3.0,4.0,8.0
2010,2010-10-08,0,19,2010-10-07,0.0,0.0,2,1,True,False,37,0,19.0,22,24.0,4.0,6.0,12.0,42,1,19.0,45,27.0,8.0,11.0,15.0
2010,2010-10-08,8,2,2010-10-07,0.0,0.0,4,0,True,False,33,2,28.0,31,27.0,11.0,14.0,20.0,37,0,32.0,29,22.0,6.0,11.0,17.0
2010,2010-10-08,25,7,2010-10-07,0.0,0.0,2,3,False,True,32,1,26.0,32,25.0,4.0,3.0,14.0,28,2,28.0,24,14.0,4.0,6.0,21.0
2010,2010-10-08,22,16,2010-10-07,0.0,0.0,4,3,True,False,41,1,14.0,32,18.0,12.0,11.0,16.0,38,2,6.0,28,19.0,16.0,3.0,10.0
2010,2010-10-09,6,17,2010-10-08,0.0,0.0,5,3,True,False,36,2,14.0,34,18.0,7.0,7.0,12.0,30,1,10.0,24,16.0,5.0,6.0,17.0
2010,2010-10-09,1,12,2010-10-08,0.0,0.0,7,2,True,False,29,1,38.0,35,18.0,7.0,6.0,13.0,33,0,45.0,28,17.0,3.0,6.0,13.0
2010,2010-10-09,18,24,2010-10-08,0.0,0.0,2,3,False,True,38,0,15.0,25,47.0,5.0,8.0,7.0,27,0,15.0,28,27.0,2.0,6.0,11.0
2010,2010-10-09,9,4,2010-10-08,0.0,0.0,4,5,False,True,47,3,12.0,31,42.0,17.0,9.0,16.0,22,1,16.0,23,21.0,15.0,8.0,13.0
2010,2010-10-09,27,30,2010-10-08,0.0,0.0,5,1,True,False,38,1,33.0,23,37.0,10.0,17.0,14.0,18,0,25.0,23,30.0,6.0,8.0,11.0
2010,2010-10-09,7,25,2010-10-08,0.0,0.0,2,3,False,True,35,2,8.0,27,11.0,3.0,3.0,13.0,25,1,16.0,25,30.0,11.0,3.0,25.0
2010,2010-10-09,23,28,2010-10-08,0.0,0.0,2,5,False,True,42,1,9.0,33,23.0,2.0,1.0,11.0,37,1,13.0,41,21.0,6.0,2.0,14.0
2010,2010-10-09,31,13,2010-10-08,0.0,0.0,3,6,False,True,36,1,18.0,30,30.0,5.0,14.0,20.0,28,0,10.0,25,18.0,3.0,5.0,19.0
2010,2010-10-10,16,10,2010-10-09,0.0,0.0,2,3,False,True,28,1,8.0,28,32.0,13.0,15.0,16.0,26,1,10.0,30,27.0,3.0,5.0,14.0
2010,2010-10-10,29,15,2010-10-09,0.0,0.0,2,1,True,False,25,1,23.0,29,22.0,7.0,5.0,15.0,30,0,41.0,22,13.0,6.0,5.0,15.0
2010,2010-10-10,28,23,2010-10-09,0.0,0.0,0,3,False,True,29,0,12.0,37,17.0,3.0,4.0,11.0,37,0,6.0,37,19.0,5.0,5.0,14.0
2010,2010-10-10,3,26,2010-10-09,0.0,0.0,1,2,False,True,24,1,10.0,26,34.0,15.0,9.0,13.0,32,1,10.0,30,27.0,4.0,2.0,14.0
2010,2010-10-10,5,21,2010-10-09,0.0,0.0,4,1,True,False,49,1,13.0,36,13.0,9.0,4.0,14.0,37,0,19.0,32,18.0,5.0,3.0,11.0
2010,2010-10-11,29,21,2010-10-10,0.0,0.0,5,1,True,False,53,1,65.0,27,13.0,4.0,7.0,6.0,14,1,78.0,23,17.0,1.0,4.0,15.0
2010,2010-10-11,9,13,2010-10-10,0.0,0.0,6,4,True,False,32,2,11.0,29,28.0,15.0,13.0,18.0,33,2,17.0,34,25.0,7.0,9.0,14.0
2010,2010-10-11,8,20,2010-10-10,0.0,0.0,3,2,True,False,13,0,10.0,16,25.0,10.0,21.0,24.0,28,0,4.0,32,17.0,15.0,7.0,8.0
2010,2010-10-11,2,26,2010-10-10,0.0,0.0,3,1,True,False,32,1,6.0,22,14.0,5.0,11.0,19.0,22,0,10.0,29,12.0,6.0,5.0,12.0
